Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Length,LanguageDiversity,DescriptorDensity,MostFrequentDescriptors,LongWordDensity,Personability,Storytelling,SocialNetworkBinary
288313,B000ENUC3S,AN66F3Q4QNU43,Donna Speaker,0,0,5,1340496000,Cherry Pie Larabar,39,0.717948717948718,0.10256410256410256,"[('low', 2)]",0.07692307692307693,0.07692307692307693,0.0,0
431727,B002TMV3CG,A3G007LQX6KGOD,SevereWX,0,0,5,1287878400,Melitta Coffee,112,0.6875,0.15178571428571427,[],0.29464285714285715,0.07142857142857142,0.008928571428571428,0
110312,B004867T24,A11LNY2OLQSUSV,M. Castillo,0,0,5,1331769600,great treat,42,0.8809523809523809,0.16666666666666666,[],0.11904761904761904,0.09523809523809523,0.0,0
91856,B004U7KPY0,A1QCYVHWO5934U,"PistolaMia ""PistolaMia""",0,0,5,1332806400,Daily Calming,25,0.8,0.28,[],0.24,0.0,0.0,0
338856,B000FD78R0,A30U2QQN2FFHE9,J. Amicucci,2,3,5,1271376000,Best Canned Artichokes Out There!,279,0.5627240143369175,0.1863799283154122,"[('not', 5), ('too', 3), ('just', 2), ('couple', 2), ('soft', 2)]",0.1827956989247312,0.0967741935483871,0.02867383512544803,0
243609,B0059X9A6I,AUDQL0QLM3Y58,chuck harris,0,0,5,1337731200,WOW!,26,0.9615384615384616,0.15384615384615385,[],0.19230769230769232,0.07692307692307693,0.0,0
152344,B000LKZD4W,A1QGQ6BDB5PR2X,Carolyn McCray,1,1,5,1347667200,Love this product,89,0.7191011235955056,0.1348314606741573,[],0.12359550561797752,0.0449438202247191,0.0,0
336203,B000BRR8VQ,A1GE2Q2WR6G9G,tech geek,0,0,5,1333497600,These are amazing treats and a great value,30,0.9,0.06666666666666667,[],0.26666666666666666,0.06666666666666667,0.0,0
488612,B004JQVAVO,A1OH8NY6IBSDJ7,J. P. Delese Jr.,1,2,1,1307059200,can't drink it,30,0.8666666666666667,0.16666666666666666,"[('not', 2)]",0.2,0.03333333333333333,0.0,0
103619,B0083L5F8K,A2KXPOM62YFOBT,C. Daughtridge,0,0,5,1340582400,everything I needed,31,0.9354838709677419,0.0967741935483871,[],0.22580645161290322,0.03225806451612903,0.0,0
420253,B001EPPC80,A3G7ANA9HW69M5,Ali,0,0,4,1283212800,Good Snak to have handy!,28,0.8928571428571429,0.17857142857142858,[],0.21428571428571427,0.07142857142857142,0.0,0
349114,B0002QEIF0,AQ492CE49WYC6,taft,2,2,1,1296259200,Not good for stuffing!,236,0.5296610169491526,0.13983050847457626,"[(""n't"", 3), ('usable', 2), ('never', 2), ('gently', 2)]",0.18220338983050846,0.1059322033898305,0.025423728813559324,0
443518,B000634FVG,AX3O3ANDPKDIF,"blackholesun1Girl ""blackholesun1""",1,1,5,1123459200,My dog is the one that I listen to...,137,0.6496350364963503,0.0948905109489051,"[('little', 2)]",0.18248175182481752,0.10218978102189781,0.0,0
498074,B000BYAECY,ACTI7K4OERSRT,Smiley,2,2,5,1326412800,Munchy Beef Sticks,52,0.8269230769230769,0.17307692307692307,"[('good', 2)]",0.09615384615384616,0.11538461538461539,0.019230769230769232,0
163368,B000CQID1A,A28UINBMQPCKDV,doc,0,0,5,1343865600,great,21,1.0,0.19047619047619047,[],0.3333333333333333,0.047619047619047616,0.0,0
276372,B0018Q2N3C,A2TUJI1HX80SVC,Edward King,0,0,5,1301443200,Great product -- Wrong Price,54,0.7962962962962963,0.1111111111111111,[],0.14814814814814814,0.037037037037037035,0.037037037037037035,0
411050,B0050X8EK0,A3JN0FHDFURCDL,pipperjo,0,0,5,1337212800,"Sylt Lingon, Lingonberry Preserves,",65,0.7230769230769231,0.16923076923076924,"[('good', 2)]",0.13846153846153847,0.1076923076923077,0.0,0
516322,B000H1217M,A2O9N82I49GZ4P,C. Opal,0,0,5,1333324800,Great Product,38,0.868421052631579,0.23684210526315788,"[('great', 2)]",0.10526315789473684,0.07894736842105263,0.0,0
424830,B0041CIP3M,A21VGNU5959O85,Laura Terese Henri,0,0,4,1329350400,Curry in a hurry.,209,0.6124401913875598,0.11004784688995216,"[('other', 2)]",0.22966507177033493,0.03827751196172249,0.009569377990430622,0
195424,B002I39NYQ,A1HAW3196D85ID,sue,0,0,5,1293840000,sonoma jacks garlic & herb,49,0.8163265306122449,0.20408163265306123,[],0.2857142857142857,0.061224489795918366,0.0,0
109672,B0030VJ97Q,A3FIV3X7H4VLI7,mandm,0,0,3,1310601600,Not as good,61,0.7377049180327869,0.18032786885245902,"[('other', 2)]",0.19672131147540983,0.03278688524590164,0.0,1
407944,B008UD1W6K,A2XQWXRSJ0Q04I,G,1,1,5,1304726400,Don't Ever Stop Making These!!!,48,0.7083333333333334,0.25,"[(""n't"", 2), ('fat', 2), ('free', 2)]",0.14583333333333334,0.08333333333333333,0.0,0
409830,B004LKY7NG,A1KY25HG3D9NWB,"Donald W. Cook Sr. ""PghDrake""",0,0,5,1324425600,Very good tasting candy,59,0.8305084745762712,0.13559322033898305,[],0.0847457627118644,0.1016949152542373,0.03389830508474576,0
404363,B000LKZEO6,A3H7DJ8TDWZTIC,"Julie Holy ""bookie  book""",1,3,1,1320796800,not very good at all,129,0.5503875968992248,0.13178294573643412,"[('other', 3), ('then', 2)]",0.13953488372093023,0.10077519379844961,0.023255813953488372,0
219293,B00099XO14,A1Z54EM24Y40LL,c2,1,1,2,1338940800,SUPER salty!,177,0.6497175141242938,0.1864406779661017,"[(""n't"", 4), ('really', 2), ('quick', 2), ('again', 2), ('prepackaged', 2)]",0.192090395480226,0.05084745762711865,0.01694915254237288,1
361880,B006N3HZ6K,A67YO0RRC61AM,ECS66,0,0,5,1323302400,"Great coffee, but may cancel subscription",102,0.7058823529411765,0.06862745098039216,[],0.19607843137254902,0.049019607843137254,0.00980392156862745,0
114136,B004FELBH8,A36K2N527TXXJN,Dr. Bojan Tunguz,1,1,5,1304121600,Tasty Little Snack,157,0.6178343949044586,0.1592356687898089,"[('other', 3), ('similar', 2), ('very', 2)]",0.2229299363057325,0.08917197452229299,0.006369426751592357,0
271989,B004VLVQZC,A3BDO5NTTNDG7A,Tightwad,0,0,1,1347840000,Worm!,241,0.5394190871369294,0.08298755186721991,"[('whole', 3), ('publicly', 2)]",0.23651452282157676,0.04149377593360996,0.004149377593360996,0
302765,B000ZH04L8,A1NPHWZRB228G9,"William B. Boyce ""Still Looking""",0,0,4,1342915200,Worth the Money!,66,0.6818181818181818,0.10606060606060606,"[('good', 2)]",0.12121212121212122,0.07575757575757576,0.0,0
